Результаты анализа:

1. Пары <Персонаж>:<Локация>
Персонаж : Локация	Частота
элизабет : женева	2697
элизабет : англия	2046
феликс : женева	1537
жюстина : женева	1450
элизабет : ингольштадт	1302
феликс : англия	1166
жюстина : англия	1100
элизабет : париж	930
элизабет : швейцария	837
клервали : женева	812
виктор : женева	783
элизабет : лондон	744
феликс : ингольштадт	742
жюстина : ингольштадт	700
франкенштейн : женева	696
анри : женева	696
уильям : женева	696
сафия : женева	696
элизабет : италия	651
элизабет : рейн	651
клервали : англия	616
виктор : англия	594
элизабет : монблан	558
элизабет : ливорно	558
феликс : париж	530
франкенштейн : англия	528
анри : англия	528
уильям : англия	528
сафия : англия	528
клервалящие : женева	522
агата : женева	522
жюстина : париж	500
феликс : швейцария	477
элизабет : шотландия	465
элизабет : оксфорд	465
жюстина : швейцария	450
феликс : лондон	424
жюстина : лондон	400
клервалящие : англия	396
агата : англия	396
клервали : ингольштадт	392
виктор : ингольштадт	378
эрнест : женева	377
элизабет : архангельск	372
элизабет : бельривы	372
элизабет : шамунь	372
элизабет : альпы	372
элизабет : страсбург	372
элизабет : эдинбург	372
феликс : италия	371
феликс : рейн	371
жюстина : италия	350
жюстина : рейн	350
франкенштейн : ингольштадт	336
анри : ингольштадт	336
уильям : ингольштадт	336
сафия : ингольштадт	336
кирвин : женева	319
феликс : монблан	318
феликс : ливорно	318
жюстина : монблан	300
жюстина : ливорно	300
маргарет : женева	290
эрнест : англия	286
клервали : париж	280
элизабет : америка	279
элизабет : германия	279
элизабет : моны-салевы	279
элизабет : азия	279
элизабет : перт	279
элизабет : матлки	279
элизабет : ирландия	279
виктор : париж	270
феликс : шотландия	265
феликс : оксфорд	265
кремп : женева	261
клервали : швейцария	252
клервалящие : ингольштадт	252
агата : ингольштадт	252
жюстина : шотландия	250
жюстина : оксфорд	250
виктор : швейцария	243
кирвин : англия	242
франкенштейн : париж	240
анри : париж	240
уильям : париж	240
сафия : париж	240
Де лэся : женева	232
клервали : лондон	224
маргарет : англия	220
франкенштейн : швейцария	216
виктор : лондон	216
анри : швейцария	216
уильям : швейцария	216
сафия : швейцария	216
феликс : архангельск	212
феликс : бельривы	212
феликс : шамунь	212
феликс : альпы	212
феликс : страсбург	212
феликс : эдинбург	212
жюстина : архангельск	200
жюстина : бельривы	200
жюстина : шамунь	200
жюстина : альпы	200
жюстина : страсбург	200
жюстина : эдинбург	200
кремп : англия	198
клервали : италия	196
клервали : рейн	196
франкенштейн : лондон	192
анри : лондон	192
уильям : лондон	192
сафия : лондон	192
виктор : италия	189
виктор : рейн	189
элизабет : петербург	186
элизабет : россия	186
элизабет : люцерн	186
элизабет : франция	186
элизабет : комо	186
элизабет : милан	186
элизабет : греция	186
элизабет : клервалящие	186
элизабет : пленпал	186
элизабет : константинополь	186
элизабет : европа	186
элизабет : роттердам	186
элизабет : майнц	186
элизабет : индия	186
элизабет : камберленд	186
элизабет : уэстморленд	186
элизабет : оркнейские острова	186
элизабет : эвиана	186
эрнест : ингольштадт	182
клервалящие : париж	180
агата : париж	180
Де лэся : англия	176
уолтон : женева	174
франкенштейн : италия	168
франкенштейн : рейн	168
анри : италия	168
уильям : италия	168
сафия : италия	168
анри : рейн	168
клервали : монблан	168
клервали : ливорно	168
уильям : рейн	168
сафия : рейн	168
виктор : монблан	162
виктор : ливорно	162
клервалящие : швейцария	162
агата : швейцария	162
феликс : америка	159
феликс : германия	159
феликс : моны-салевы	159
феликс : азия	159
феликс : перт	159
феликс : матлки	159
феликс : ирландия	159
кирвин : ингольштадт	154
жюстина : америка	150
жюстина : германия	150
жюстина : моны-салевы	150
жюстина : азия	150
жюстина : перт	150
жюстина : матлки	150
жюстина : ирландия	150
вальдман : женева	145
франкенштейн : монблан	144
франкенштейн : ливорно	144
клервалящие : лондон	144
агата : лондон	144
анри : монблан	144
анри : ливорно	144
уильям : монблан	144
уильям : ливорно	144
сафия : монблан	144
сафия : ливорно	144
маргарет : ингольштадт	140
клервали : шотландия	140
клервали : оксфорд	140
виктор : шотландия	135
виктор : оксфорд	135
уолтон : англия	132
эрнест : париж	130
клервалящие : италия	126
агата : италия	126
клервалящие : рейн	126
кремп : ингольштадт	126
агата : рейн	126
франкенштейн : шотландия	120
франкенштейн : оксфорд	120
анри : шотландия	120
анри : оксфорд	120
уильям : шотландия	120
